"File name","ConType_1","ConType_2","ConType_3","ConType_4","ConType_5","Notes"
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7246.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7247.JPG","opus latericium / opus testaceum","opus incertum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7248.JPG","opus incertum","opus vittatum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7249.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7250.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7251.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7252.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7253.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7254.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7255.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7256.JPG","opus incertum","a telaio (framework)",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7257.JPG","opus incertum","a telaio (framework)",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7258.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7259.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7260.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7261.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7262.JPG","opus incertum","opus latericium / opus testaceum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7263.JPG","opus vittatum mixtum","opus incertum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7264.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10602 May 2016 DSCN7265.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0106.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0107.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0108.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0109.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0110.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0111.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0112.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0113.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0114.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0115.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0116.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0117.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0118.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0119.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0120.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0121.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0122.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0123.JPG","opus incertum","a telaio (framework)","opus vittatum",,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0124.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0125.JPG","opus incertum","a telaio (framework)",,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0126.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0127.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0128.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0129.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0130.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0131.JPG","opus incertum","opus vittatum",,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0132.JPG","opus incertum","opus vittatum",,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0133.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0134.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0135.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0136.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0139.JPG","opus incertum","opus latericium / opus testaceum",,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0140.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0141.JPG","opus latericium / opus testaceum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0142.JPG","opus latericium / opus testaceum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0143.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0144.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0145.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0146.JPG","opus incertum","opus latericium / opus testaceum",,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0147.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10602 May 2017 DSCN0148.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10604 May 2012 DSCN1887.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10604 May 2012 DSCN1888.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10604 May 2012 DSCN1889.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10604 May 2012 DSCN1890.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10604 May 2012 DSCN1891.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10604 May 2012 DSCN1892.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN7998.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN7999.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8002.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8003.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8004.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8005.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8006.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8007.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8008.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8009.JPG","opus vittatum mixtum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8010.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8011.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8012.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8013.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8014.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8015.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8016.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8017.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8018.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8019.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8020.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8021.JPG","opus vittatum mixtum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8023.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8024.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8025.JPG","opus quadratum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8026.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8027.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8028.JPG","opus quadratum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8029.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8030.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8031.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8032.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8033.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8034.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8035.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8037.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8038.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8039.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8040.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8041.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8042.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8043.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8044.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8045.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8046.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8047.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8048.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8052.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8053.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8054.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8055.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8056.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8057.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8058.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8059.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8060.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8061.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8062.JPG","opus vittatum mixtum","opus incertum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8063.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8064.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8065.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8066.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8067.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8068.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8069.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8070.JPG","opus vittatum mixtum","opus vittatum","opus incertum",,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8071.JPG","opus vittatum mixtum","opus incertum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8072.JPG","opus vittatum mixtum","opus incertum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8073.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8074.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8075.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8076.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8077.JPG","opus vittatum mixtum","opus incertum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8078.JPG","opus vittatum mixtum","opus incertum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8079.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8080.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8081.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8082.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8083.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8084.JPG","opus vittatum mixtum","opus incertum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8085.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8086.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8087.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8088.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8089.JPG","opus quadratum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8090.JPG","opus incertum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8091.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8092.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8093.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8094.JPG","opus latericium / opus testaceum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8095.JPG","opus vittatum mixtum",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8096.JPG","No visible ConType",,,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8097.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8098.JPG","opus incertum","opus vittatum mixtum",,,,
"pompeiiinpictures Ferebee 10607 May 2016 DSCN8099.JPG","opus reticulatum",,,,,
